Loaded summary from lodopab_out/summary.json
IMG_SIZE=362, NUM_ANGLES=1000, DET_COUNT=513, PHI=[-1.0471975511965976, 1.0471975511965976]
BETA (mean y_diff_norms) = 8.358424e-01
[init=tv | dpnsn_res] epoch 047/50 | train=0.000258 | val=0.000305
[init=tv | dpnsn_res] epoch 048/50 | train=0.000256 | val=0.000303
[init=tv | dpnsn_res] epoch 049/50 | train=0.000254 | val=0.000305
[init=tv | dpnsn_res] epoch 050/50 | train=0.000254 | val=0.000305
[init=tv | dpnsn_res] best val=0.000303 saved to runs_lodopab/init_tv/checkpoints/dpnsn_res_best.pt
[init=tv | dpnsn_res] example saved to runs_lodopab/init_tv/examples/dpnsn_res_example.png
[init=lw | resnet] epoch 001/50 | train=0.003565 | val=0.001408
[init=lw | resnet] epoch 002/50 | train=0.001023 | val=0.000779
[init=lw | resnet] epoch 003/50 | train=0.000678 | val=0.000589
[init=lw | resnet] epoch 004/50 | train=0.000545 | val=0.000527
[init=lw | resnet] epoch 005/50 | train=0.000482 | val=0.000463
[init=lw | resnet] epoch 006/50 | train=0.000449 | val=0.000435
[init=lw | resnet] epoch 007/50 | train=0.000421 | val=0.000438
[init=lw | resnet] epoch 008/50 | train=0.000402 | val=0.000403
[init=lw | resnet] epoch 009/50 | train=0.000384 | val=0.000381
[init=lw | resnet] epoch 010/50 | train=0.000374 | val=0.000376
[init=lw | resnet] epoch 011/50 | train=0.000363 | val=0.000369
[init=lw | resnet] epoch 012/50 | train=0.000351 | val=0.000363
[init=lw | resnet] epoch 013/50 | train=0.000340 | val=0.000360
[init=lw | resnet] epoch 014/50 | train=0.000331 | val=0.000350
[init=lw | resnet] epoch 015/50 | train=0.000325 | val=0.000347
[init=lw | resnet] epoch 016/50 | train=0.000320 | val=0.000340
[init=lw | resnet] epoch 017/50 | train=0.000311 | val=0.000332
[init=lw | resnet] epoch 018/50 | train=0.000307 | val=0.000335
[init=lw | resnet] epoch 019/50 | train=0.000300 | val=0.000336
[init=lw | resnet] epoch 020/50 | train=0.000296 | val=0.000320
